reactants,product
O=[N+]([O-])c1ccccc1Cl.COc1ccc(N)cc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],COc1ccc(Nc2ccccc2[N+](=O)[O-])cc1
COC(=O)c1ccccc1Cl.Cc1cccc(N)c1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],COC(=O)c1ccccc1Nc1cccc(C)c1
CC(C)(C)c1ccc(Br)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(C(C)(C)C)cc2)cc1
Cc1ccc(C)c(Br)c1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2cc(C)ccc2C)cc1
Cc1cc(C)cc(Br)c1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[K+],Cc1cc(C)cc(NCc2ccccc2)c1
COc1ccccc1Br.Cc1ccccc1N.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1Nc1ccccc1C
CN(C)c1ccc(Br)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(N(C)C)cc2)cc1
COc1ccc(Br)cc1.Cc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(C)cc2)cc1
Cc1cc(C)cc(Br)c1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1cc(C)cc(NCc2ccccc2)c1
Brc1ccc2c(c1)OCO2.Cc1cc(C)c(N)c(C)c1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1cc(C)c(Nc2ccc3c(c2)OCO3)c(C)c1
